date,new_dem_win_prob,new_dem_2p_vote_share,old_dem_win_prob,old_dem_2p_vote_share
4/23/2022,0.425,0.4948049,0.4843,0.500048
4/24/2022,0.424,0.4947701,0.4891,0.499943
4/25/2022,0.4273,0.4946682,0.4917,0.5001557
4/26/2022,0.4219,0.4946203,0.4875,0.500205
4/27/2022,0.4205,0.4943816,0.4855,0.4997771
4/28/2022,0.4238,0.4946161,0.4908,0.5001447
4/29/2022,0.4147,0.4939291,0.4879,0.4999358
4/30/2022,0.4197,0.4942599,0.4894,0.4999983
5/1/2022,0.4155,0.494096,0.4987,0.5001801
5/2/2022,0.4159,0.4941119,0.4843,0.4998539
5/3/2022,0.4181,0.4941814,0.488,0.4998734
5/4/2022,0.4379,0.496051,0.5118,0.5018208
5/5/2022,0.4427,0.4963487,0.5108,0.5016404
5/6/2022,0.4414,0.4961009,0.5162,0.5022341
5/7/2022,0.4426,0.4961052,0.5213,0.5020372
5/8/2022,0.4382,0.4960306,0.523,0.5024614
5/9/2022,0.4327,0.4959409,0.516,0.5020503
5/10/2022,0.4393,0.4960202,0.5166,0.5021157
5/11/2022,0.4416,0.4958966,0.5128,0.5017711
5/12/2022,0.4396,0.4960531,0.509,0.501877
5/13/2022,0.4356,0.4958808,0.5113,0.5018049
5/14/2022,0.4375,0.496035,0.5203,0.5022724
5/15/2022,0.4452,0.4961749,0.5169,0.5020658
5/16/2022,0.4439,0.4959307,0.5124,0.5018507
5/17/2022,0.4443,0.4959962,0.5151,0.5017269
5/18/2022,0.4393,0.4957637,0.5083,0.5014283
5/19/2022,0.4409,0.4957989,0.5031,0.5012288
5/20/2022,0.4356,0.4955925,0.5006,0.5011058
5/21/2022,0.4385,0.4955595,0.4884,0.5000177
5/22/2022,0.4372,0.4956984,0.4859,0.4998036
5/23/2022,0.4326,0.4956065,0.4868,0.5001774
5/24/2022,0.4411,0.4957141,0.49,0.5000609
5/25/2022,0.431,0.4954653,0.496,0.500108
5/26/2022,0.4309,0.49524,0.4929,0.5002586
5/27/2022,0.4302,0.4954095,0.4792,0.4995032
5/28/2022,0.4257,0.4952752,0.4833,0.499734
5/29/2022,0.4336,0.4954894,0.4829,0.4998236
5/30/2022,0.4325,0.4953626,0.479,0.4997177
5/31/2022,0.4313,0.4954794,0.4843,0.4996465
6/1/2022,0.4321,0.4956611,0.4849,0.4996792
6/2/2022,0.4338,0.4956616,0.4869,0.4998261
6/3/2022,0.4317,0.4954969,0.4794,0.4993099
6/4/2022,0.4313,0.4955007,0.4792,0.4994174
6/5/2022,0.4346,0.4954614,0.486,0.4996406
6/6/2022,0.4345,0.4953121,0.4769,0.4993877
6/7/2022,0.4251,0.4950679,0.472,0.4988199
6/8/2022,0.4247,0.4946573,0.4677,0.4983903
6/9/2022,0.4243,0.4949521,0.4623,0.4983721
6/10/2022,0.4238,0.4944693,0.4632,0.4982637
6/11/2022,0.4253,0.4945877,0.4611,0.4980231
6/12/2022,0.4269,0.4948618,0.4646,0.4982225
6/13/2022,0.4204,0.494642,0.4675,0.4982411
6/14/2022,0.4324,0.4954411,0.464,0.4979816
6/15/2022,0.4303,0.4952623,0.4571,0.4976615
6/16/2022,0.4333,0.4953325,0.4603,0.4978069
6/17/2022,0.4268,0.4953286,0.4574,0.497505
6/18/2022,0.4349,0.4953076,0.4518,0.4974869
6/19/2022,0.4326,0.4952468,0.4547,0.4973785
6/20/2022,0.4274,0.4952306,0.455,0.4974202
6/21/2022,0.4297,0.4951998,0.4492,0.4972982
6/22/2022,0.4327,0.4953089,0.4514,0.4974585
6/23/2022,0.4293,0.49491,0.4486,0.497212
6/24/2022,0.4218,0.4945267,0.4489,0.4969317
6/25/2022,0.4348,0.4950972,0.4437,0.4971413
6/26/2022,0.4288,0.4951281,0.4524,0.4974265
6/27/2022,0.4357,0.4953496,0.4674,0.4980502
6/28/2022,0.4211,0.4950412,0.4975,0.5008729
6/29/2022,0.4704,0.4989889,0.5361,0.5031091
6/30/2022,0.4828,0.4995178,0.5278,0.502794
7/1/2022,0.4923,0.5002756,0.5228,0.5025408
7/2/2022,0.4906,0.5002599,0.5261,0.5026135
7/3/2022,0.4976,0.5006591,0.5233,0.5027955
7/4/2022,0.4913,0.500498,0.5277,0.5030375
7/5/2022,0.4979,0.5007959,0.5281,0.502782
7/6/2022,0.4902,0.5004696,0.5297,0.5028649
